Subsample Rate,Training Size,Model,Ranking Correlation,SHAP Variance,Top-5 Consistency
50%,13024,XGBoost,0.5508515651565156,0.00039849112835035384,0.184
50%,13024,Random Forest,0.9123843904390436,0.00019573371929453958,0.21999999999999997
50%,13024,Logistic Regression,0.6380056032269893,0.0003480591256772507,0.14400000000000002
75%,19536,XGBoost,0.5486206647331399,0.00040952458089485336,0.192
75%,19536,Random Forest,0.9148012241224122,0.00019818447541946398,0.23999999999999996
75%,19536,Logistic Regression,0.6214453552021868,0.0003629259640221854,0.128
100%,26048,XGBoost,0.5279685995266192,0.00042771393148395196,0.09600000000000002
100%,26048,Random Forest,0.9127268406840683,0.00021129515235083381,0.23199999999999998
100%,26048,Logistic Regression,0.6238548228156148,0.00033591540283572083,0.15200000000000002
